,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2010-06-19 to 2010-07-02,-8.598275803368175,,,,,,,,,,,,,
2010-06-20 to 2010-07-03,-8.598275803368175,,,,,,,,,,,,,
2010-06-21 to 2010-07-04,-8.598275803368175,,,,,,,,,,,,,
2010-06-22 to 2010-07-05,-9.826490024021856,,,,,,,,,,,,,
2010-06-23 to 2010-07-06,-8.244433472717153,,,,,,,,,,,,,
2010-06-24 to 2010-07-07,-3.8401932225719095,,,,,,,,,,,,,
2010-06-25 to 2010-07-08,-3.22834762853784,,,,,,,,,,,,,
2010-06-26 to 2010-07-09,-3.2351721837501763,,,,,,,,,,,,,
2010-06-27 to 2010-07-10,-3.2351721837501763,,,,,,,,,,,,,
2010-06-28 to 2010-07-11,-3.2351721837501763,,,,,,,,,,,,,
2010-06-29 to 2010-07-12,0.4372186377248547,,,,,,,,,,,,,
2010-06-30 to 2010-07-13,0.10734782492442037,,,,,,,,,,,,,
2010-07-01 to 2010-07-14,1.7103642268370984,,,,,,,,,,,,,
2010-07-02 to 2010-07-15,1.826323191990492,,,,,,,,,,,,,
2010-07-03 to 2010-07-16,0.510843620175203,,,,,,,,,,,,,
2010-07-04 to 2010-07-17,0.510843620175203,,,,,,,,,,,,,
2010-07-05 to 2010-07-18,0.510843620175203,,,,,,,,,,,,,
2010-07-06 to 2010-07-19,-1.226705061500595,,,,,,,,,,,,,
2010-07-07 to 2010-07-20,-2.621103358586091,,,,,,,,,,,,,
2010-07-08 to 2010-07-21,-1.4917181794220227,,,,,,,,,,,,,
2010-07-09 to 2010-07-22,-0.2311139217821186,,,,,,,,,,,,,
2010-07-10 to 2010-07-23,1.02995454502046,,,,,,,,,,,,,
2010-07-11 to 2010-07-24,1.02995454502046,,,,,,,,,,,,,
2010-07-12 to 2010-07-25,1.02995454502046,,,,,,,,,,,,,
2010-07-13 to 2010-07-26,2.970576964914517,,,,,,,,,,,,,
2010-07-14 to 2010-07-27,4.491004604081176,,,,,,,,,,,,,
2010-07-15 to 2010-07-28,3.7820850147461544,,,,,,,,,,,,,
2010-07-16 to 2010-07-29,3.2853135390079578,,,,,,,,,,,,,
2010-07-17 to 2010-07-30,4.7520122094822055,,,,,,,,,,,,,
2010-07-18 to 2010-07-31,4.7520122094822055,,,,,,,,,,,,,
2010-07-19 to 2010-08-01,4.7520122094822055,,,,,,,,,,,,,
2010-07-20 to 2010-08-02,3.9540827811554866,,,,,,,,,,,,,
2010-07-21 to 2010-08-03,3.0247118058719815,,,,,,,,,,,,,
2010-07-22 to 2010-08-04,1.5288306231673132,,,,,,,,,,,,,
2010-07-23 to 2010-08-05,0.6770854477799598,,,,,,,,,,,,,
2010-07-24 to 2010-08-06,0.3124175354752362,,,,,,,,,,,,,
2010-07-25 to 2010-08-07,0.3124175354752362,,,,,,,,,,,,,
2010-07-26 to 2010-08-08,0.3124175354752362,,,,,,,,,,,,,
